<'body system', 'issue in', 'biomedical occupation or discipline'>
<'diagnostic procedure', 'analyzes', 'chemical viewed structurally'>
<'physiologic function', 'produces', 'receptor'>
<'acquired abnormality', 'affects', 'organism'>
<'amino acid sequence', 'property of', 'amino acid peptide or protein'>
<'natural phenomenon or process', 'process of', 'mental or behavioral dysfunction'>
<'cell component', 'isa', 'anatomical structure'>
<'gene or genome', 'part of', 'fish'>
<'enzyme', 'disrupts', 'molecular function'>
<'disease or syndrome', 'precedes', 'experimental model of disease'>
<'phenomenon or process', 'result of', 'mental process'>
<'disease or syndrome', 'degree of', 'neoplastic process'>
<'acquired abnormality', 'affects', 'fungus'>
<'molecular function', 'process of', 'vertebrate'>
<'anatomical abnormality', 'result of', 'cell or molecular dysfunction'>
<'pathologic function', 'affects', 'animal'>
<'fungus', 'causes', 'neoplastic process'>
<'mental process', 'result of', 'mental or behavioral dysfunction'>
<'finding', 'evaluation of', 'clinical attribute'>
<'pathologic function', 'produces', 'vitamin'>
<'anatomical abnormality', 'result of', 'natural phenomenon or process'>
<'organophosphorus compound', 'interacts with', 'amino acid peptide or protein'>
<'immunologic factor', 'affects', 'biologic function'>
<'neuroreactive substance or biogenic amine', 'affects', 'molecular function'>
<'classification', 'issue in', 'biomedical occupation or discipline'>
<'chemical viewed functionally', 'causes', 'pathologic function'>
<'mental process', 'affects', 'virus'>
<'therapeutic or preventive procedure', 'treats', 'acquired abnormality'>
<'immunologic factor', 'complicates', 'neoplastic process'>
<'hormone', 'affects', 'cell function'>
<'cell', 'part of', 'archaeon'>
<'physiologic function', 'process of', 'disease or syndrome'>
<'bird', 'isa', 'entity'>
<'patient or disabled group', 'interacts with', 'group'>
<'sign or symptom', 'associated with', 'anatomical abnormality'>
<'chemical viewed structurally', 'causes', 'cell or molecular dysfunction'>
<'mental or behavioral dysfunction', 'produces', 'immunologic factor'>
<'laboratory procedure', 'analyzes', 'lipid'>
<'family group', 'uses', 'drug delivery device'>
<'diagnostic procedure', 'affects', 'biologic function'>
<'acquired abnormality', 'part of', 'vertebrate'>
<'chemical viewed functionally', 'interacts with', 'immunologic factor'>
<'antibiotic', 'complicates', 'cell function'>
<'biomedical or dental material', 'interacts with', 'neuroreactive substance or biogenic amine'>
<'inorganic chemical', 'interacts with', 'indicator reagent or diagnostic aid'>
<'laboratory or test result', 'associated with', 'anatomical abnormality'>
<'diagnostic procedure', 'measures', 'organism attribute'>
<'disease or syndrome', 'isa', 'event'>
<'pathologic function', 'co-occurs with', 'congenital abnormality'>
<'cell component', 'part of', 'archaeon'>
<'congenital abnormality', 'issue in', 'occupation or discipline'>
<'lipid', 'interacts with', 'chemical viewed functionally'>
<'steroid', 'interacts with', 'inorganic chemical'>
<'clinical attribute', 'degree of', 'organism attribute'>
<'virus', 'interacts with', 'fish'>
<'cell', 'produces', 'immunologic factor'>
<'injury or poisoning', 'complicates', 'neoplastic process'>
<'carbohydrate', 'affects', 'mental process'>
<'organism function', 'precedes', 'organ or tissue function'>
<'hazardous or poisonous substance', 'complicates', 'mental or behavioral dysfunction'>
<'molecular function', 'affects', 'mental or behavioral dysfunction'>
<'intellectual product', 'isa', 'entity'>
<'patient or disabled group', 'produces', 'manufactured object'>
<'amphibian', 'interacts with', 'organism'>
<'environmental effect of humans', 'result of', 'congenital abnormality'>
<'acquired abnormality', 'associated with', 'organism attribute'>
<'body location or region', 'location of', 'anatomical abnormality'>
<'organism function', 'result of', 'pathologic function'>
<'bird', 'isa', 'vertebrate'>
<'invertebrate', 'interacts with', 'organism'>
<'pharmacologic substance', 'affects', 'biologic function'>
<'natural phenomenon or process', 'result of', 'organ or tissue function'>
<'biomedical or dental material', 'affects', 'physiologic function'>
<'therapeutic or preventive procedure', 'isa', 'activity'>
<'pharmacologic substance', 'complicates', 'neoplastic process'>
<'cell', 'location of', 'biologic function'>
<'sign or symptom', 'evaluation of', 'genetic function'>
<'qualitative concept', 'evaluation of', 'research activity'>
<'cell function', 'affects', 'experimental model of disease'>
<'laboratory procedure', 'measures', 'body substance'>
<'neoplastic process', 'result of', 'genetic function'>
<'acquired abnormality', 'location of', 'bacterium'>
<'anatomical abnormality', 'manifestation of', 'biologic function'>
<'experimental model of disease', 'process of', 'plant'>
<'anatomical structure', 'isa', 'physical object'>
<'mental process', 'precedes', 'physiologic function'>
<'laboratory procedure', 'measures', 'experimental model of disease'>
<'body location or region', 'location of', 'diagnostic procedure'>
<'biologically active substance', 'disrupts', 'gene or genome'>
<'laboratory or test result', 'evaluation of', 'genetic function'>
<'phenomenon or process', 'result of', 'disease or syndrome'>
<'enzyme', 'interacts with', 'immunologic factor'>
<'organic chemical', 'interacts with', 'biomedical or dental material'>
<'mental process', 'isa', 'biologic function'>
<'body part organ or organ component', 'adjacent to', 'cell'>
<'biologic function', 'process of', 'cell function'>
<'therapeutic or preventive procedure', 'method of', 'biomedical occupation or discipline'>
<'natural phenomenon or process', 'issue in', 'biomedical occupation or discipline'>
<'cell function', 'affects', 'mammal'>
<'archaeon', 'issue in', 'biomedical occupation or discipline'>
<'neoplastic process', 'process of', 'organism function'>
<'congenital abnormality', 'location of', 'disease or syndrome'>
<'food', 'affects', 'biologic function'>
<'governmental or regulatory activity', 'associated with', 'injury or poisoning'>
<'immunologic factor', 'complicates', 'mental process'>
<'body space or junction', 'location of', 'injury or poisoning'>
<'laboratory or test result', 'manifestation of', 'experimental model of disease'>
<'experimental model of disease', 'affects', 'reptile'>
<'fully formed anatomical structure', 'location of', 'fungus'>
<'laboratory procedure', 'assesses effect of', 'chemical viewed structurally'>
<'professional society', 'carries out', 'laboratory procedure'>
<'genetic function', 'precedes', 'organ or tissue function'>
<'clinical attribute', 'issue in', 'occupation or discipline'>
<'congenital abnormality', 'isa', 'physical object'>
<'receptor', 'complicates', 'molecular function'>
<'experimental model of disease', 'result of', 'anatomical abnormality'>
<'hazardous or poisonous substance', 'disrupts', 'organism function'>
<'nucleic acid nucleoside or nucleotide', 'isa', 'entity'>
<'element ion or isotope', 'interacts with', 'antibiotic'>
<'organization', 'isa', 'entity'>
<'organism function', 'process of', 'virus'>
<'bird', 'interacts with', 'human'>
<'therapeutic or preventive procedure', 'uses', 'research device'>
<'vitamin', 'causes', 'experimental model of disease'>
<'anatomical abnormality', 'affects', 'organism'>
<'injury or poisoning', 'disrupts', 'physiologic function'>
<'molecular function', 'process of', 'natural phenomenon or process'>
<'carbohydrate', 'affects', 'disease or syndrome'>
<'cell or molecular dysfunction', 'affects', 'physiologic function'>
<'cell or molecular dysfunction', 'issue in', 'occupation or discipline'>
<'disease or syndrome', 'associated with', 'cell or molecular dysfunction'>
<'organism function', 'co-occurs with', 'molecular function'>
<'pathologic function', 'affects', 'invertebrate'>
<'individual behavior', 'manifestation of', 'mental process'>
<'organism attribute', 'property of', 'fish'>
<'laboratory procedure', 'issue in', 'biomedical occupation or discipline'>
<'organophosphorus compound', 'interacts with', 'chemical'>
<'mental process', 'process of', 'neoplastic process'>
<'anatomical abnormality', 'affects', 'fungus'>
<'diagnostic procedure', 'associated with', 'injury or poisoning'>
<'element ion or isotope', 'affects', 'organism function'>
<'experimental model of disease', 'result of', 'diagnostic procedure'>
<'disease or syndrome', 'result of', 'mental or behavioral dysfunction'>
<'environmental effect of humans', 'result of', 'human caused phenomenon or process'>
<'neuroreactive substance or biogenic amine', 'disrupts', 'cell component'>
<'pharmacologic substance', 'disrupts', 'physiologic function'>
<'vitamin', 'isa', 'substance'>
<'behavior', 'associated with', 'group'>
<'pharmacologic substance', 'complicates', 'mental process'>
<'health care activity', 'associated with', 'cell or molecular dysfunction'>
<'pharmacologic substance', 'causes', 'experimental model of disease'>
<'body space or junction', 'surrounds', 'cell'>
<'laboratory or test result', 'measurement of', 'lipid'>
<'biologic function', 'affects', 'organism function'>
<'cell or molecular dysfunction', 'process of', 'reptile'>
<'pathologic function', 'affects', 'amphibian'>
<'inorganic chemical', 'affects', 'cell or molecular dysfunction'>
<'laboratory procedure', 'assesses effect of', 'mental or behavioral dysfunction'>
<'laboratory procedure', 'diagnoses', 'disease or syndrome'>
<'antibiotic', 'causes', 'disease or syndrome'>
<'diagnostic procedure', 'measures', 'lipid'>
<'individual behavior', 'associated with', 'group'>
<'anatomical abnormality', 'part of', 'vertebrate'>
<'neoplastic process', 'occurs in', 'mental or behavioral dysfunction'>
<'neuroreactive substance or biogenic amine', 'interacts with', 'hormone'>
<'mental process', 'affects', 'organism attribute'>
<'fully formed anatomical structure', 'produces', 'biologically active substance'>
<'hormone', 'isa', 'chemical'>
<'fully formed anatomical structure', 'location of', 'pathologic function'>
<'fungus', 'causes', 'disease or syndrome'>
<'pharmacologic substance', 'isa', 'substance'>
<'biologically active substance', 'complicates', 'organ or tissue function'>
<'hormone', 'disrupts', 'cell component'>
<'body part organ or organ component', 'location of', 'acquired abnormality'>
<'medical device', 'prevents', 'pathologic function'>
<'human', 'isa', 'entity'>
<'cell', 'isa', 'fully formed anatomical structure'>
<'injury or poisoning', 'associated with', 'clinical attribute'>
<'invertebrate', 'isa', 'entity'>
<'antibiotic', 'disrupts', 'embryonic structure'>
<'virus', 'location of', 'enzyme'>
<'embryonic structure', 'isa', 'anatomical structure'>
<'immunologic factor', 'complicates', 'disease or syndrome'>
<'mental or behavioral dysfunction', 'affects', 'vertebrate'>
<'gene or genome', 'location of', 'cell function'>
<'medical device', 'causes', 'acquired abnormality'>
<'molecular function', 'result of', 'congenital abnormality'>
<'organ or tissue function', 'precedes', 'physiologic function'>
<'steroid', 'affects', 'organism function'>
<'molecular biology research technique', 'associated with', 'disease or syndrome'>
<'disease or syndrome', 'affects', 'human'>
<'molecular biology research technique', 'measures', 'inorganic chemical'>
<'anatomical abnormality', 'associated with', 'organism attribute'>
<'gene or genome', 'carries out', 'genetic function'>
<'acquired abnormality', 'result of', 'natural phenomenon or process'>
<'injury or poisoning', 'result of', 'neoplastic process'>
<'disease or syndrome', 'affects', 'genetic function'>
<'laboratory procedure', 'analyzes', 'eicosanoid'>
<'neuroreactive substance or biogenic amine', 'disrupts', 'tissue'>
<'eicosanoid', 'interacts with', 'immunologic factor'>
<'patient or disabled group', 'isa', 'conceptual entity'>
<'bacterium', 'isa', 'organism'>
<'cell or molecular dysfunction', 'affects', 'organ or tissue function'>
<'quantitative concept', 'measurement of', 'carbohydrate sequence'>
<'human', 'isa', 'vertebrate'>
<'receptor', 'affects', 'cell or molecular dysfunction'>
<'health care activity', 'affects', 'genetic function'>
<'drug delivery device', 'contains', 'clinical drug'>
<'organophosphorus compound', 'affects', 'organ or tissue function'>
<'laboratory or test result', 'indicates', 'mental or behavioral dysfunction'>
